CONST,CONST
pi,ident
=,simbolo_igual
3,numero
;,simbolo_ponto_virgula
PROCEDURE,PROCEDURE
calcArea,ident
;,simbolo_ponto_virgula
VAR,VAR
radius,ident
;,simbolo_ponto_virgula
BEGIN,BEGIN
:,<ERRO_LEXICO>
radius,ident
:=,simbolo_atribuicao
2,numero
;,simbolo_ponto_virgula
x,ident
:=,simbolo_atribuicao
pi,ident
*,simbolo_multiplicacao
radius,ident
*,simbolo_multiplicacao
radius,ident
;,simbolo_ponto_virgula
END,END
;,simbolo_ponto_virgula
BEGIN,BEGIN
x,ident
:=,simbolo_atribuicao
10,numero
;,simbolo_ponto_virgula
y,ident
:=,simbolo_atribuicao
20,numero
;,simbolo_ponto_virgula
z,ident
:=,simbolo_atribuicao
x,ident
+,simbolo_mais
y,ident
;,simbolo_ponto_virgula
CALL,CALL
calcArea,ident
;,simbolo_ponto_virgula
IF,IF
x,ident
>,simbolo_maior
y,ident
THEN,THEN
z,ident
:=,simbolo_atribuicao
@,<ERRO_LEXICO>
x,ident
-,simbolo_menos
y,ident
;,simbolo_ponto_virgula
WHILE,WHILE
z,ident
<>,simbolo_diferente
0,numero
DO,DO
z,ident
:=,simbolo_atribuicao
z,ident
-,simbolo_menos
1,numero
;,simbolo_ponto_virgula
IF,IF
ODD,ODD
x,ident
THEN,THEN
z,ident
:=,simbolo_atribuicao
-,simbolo_menos
z,ident
;,simbolo_ponto_virgula
IF,IF
x,ident
=,simbolo_igual
y,ident
THEN,THEN
z,ident
:=,simbolo_atribuicao
z,ident
/,simbolo_divisao
2,numero
;,simbolo_ponto_virgula
IF,IF
x,ident
<=,simbolo_menor_igual
y,ident
THEN,THEN
z,ident
:=,simbolo_atribuicao
z,ident
*,simbolo_multiplicacao
2,numero
;,simbolo_ponto_virgula
IF,IF
x,ident
>=,simbolo_maior_igual
y,ident
THEN,THEN
z,ident
:=,simbolo_atribuicao
z,ident
+,simbolo_mais
100,numero
;,simbolo_ponto_virgula
END,END
.,simbolo_ponto
